 ,,,,,,,,,,,,,,,
REKAPITULIASI BA EQUIPMENT,,,,,,,,,,,,,,,
PER 30 DES 2024,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
MENURUT BA EQUIPMENT,,,,,,,,,,168,,,,,
NO,UNIT/KERJA,NAMA EQUIPMENT,NOMOR EQUIPMENT,REVISI COST CENTER,Ket CC,Ket VHC,STATUS KENDARAAN,KEPEMILIKAN,Total,,,NO,UNIT,CODE,VHC
,,Mobil Manajer KT 8396 YG,2000014520,5E17CAR003,Mati,Tidak Ada BA,Jalan / Double Tidak berfungsi,Sewa,,,5E17,,,,
,Tajati,Compac ( Sakai SV 512 D ),2000014814,5E17COM001,,Aktif,Rusak / Hidrolik Pump,Inventaris,,COM,5E17,,,,
,,Dump Truck KT 8870 KE,2000021399,5E17DTR002,Mati,Tidak Ada BA,Jalan / Unit Sudah Tua,Sewa,,,5E17,,,,
,,Dump Truck DA 8758 CY,2000021400,5E17DTR003,,Aktif,Jalan / Baik,Sewa,,DTR,5E17,,,,
,,Dump Truck DA 8289 JD,2000021401,5E17DTR004,,Aktif,Jalan / Baik,Sewa,,DTR,5E17,,,,
,,Dump Truck KB 8720 WA,2000021404,5E17DTR007,,Aktif,Jalan / Baik,Sewa,,DTR,5E17,,,,
,,Excavator JCB R51,2000014836,5E17EXC001,Mati,Tidak Ada BA,Jalan / Baik,Sewa,,,5E17,,,,
,,Mitsubishi Grader MG 330,2000014797,5E17GRA001,,Aktif,Jalan / Rem Tidak Berfungsi,Inventaris,,GRA,5E17,,,,
,,Quick Truck 2,2000021542,5E17QUT002,,Aktif,Jalan / Baik,Sewa,,QUT,5E17,,,,
,,Quick Truck 3,2000021543,5E17QUT003,Mati,Tidak Ada BA,Jalan / Baik,Sewa,,,5E17,,,,
,,Quick Truck 4,2000021544,5E17QUT004,Mati,Aktif,Rusak / Patah Chasis,Sewa,,QUT,5E17,,,,
,,Quick Truck 5,2000021545,5E17QUT005,,Aktif,Jalan / Baik,Sewa,,QUT,5E17,,,,
,,Quick Truck 6,2000021546,5E17QUT006,,Aktif,Jalan / Baik,Sewa,,QUT,5E17,,,,
,,Quick Truck 7 Afdeling III,2000015059,5E17QUT007,,Aktif,Sewa KKS,Sewa,,QUT,5E17,,,,
,,Quick Truck 8 AFdeling IV,2000022697,5E17QUT008,,Aktif,Sewa KKS,Sewa,,QUT,5E17,,,,
,,Mobil Manager KB 8085 DM,2000022749,5E17CAR004,BK 8178 JE diganti KB 8085 DM,Aktif,Baik,Sewa,,CAR,5E17,,,,
,,Quick Truck 9 Afdeling III,2000022827,5E17QUT009,,Aktif,Baik,Sewa,,QUT,5E17,,,,
,,Dump Truck DA 8288 JD,2000021405,5E17DTR008,,Aktif,,,,DTR,5E17,,,,
,,Dump Truck DA 8290 JD,2000021406,5E17DTR009,,Aktif,,,,DTR,5E17,,,,
,,Dump Truck DA 8511 JJ,2000021407,5E17DTR010,,Aktif,,,,DTR,5E17,,,,
,,Dump Truck KB 8490 WA,2000021408,5E17DTR011,,Aktif,,,,DTR,5E17,,,,
,n,Dump Truck KT 8944 LK,2000022851,5E17DTR012,Mati,Tidak Ada BA,,,,,,,,,
,n,Dump Truck KT 8047 YE,2000022852,5E17DTR013,Mati,Tidak Ada BA,,,,,,,,,
10,Pandawa,Mobil Manager KT 8434 YH,2000014523,5E18CAR001,Mati,Tidak Ada BA,Jalan / Rusak Garda Depan,Sewa,,,5E18,,,,
,Pandawa,Compac ( Sakai SV 525 D ),2000014815,5E18COM001,,Aktif,Jalan / Vibrator tidak berfungsi,Sewa,,COM,5E18,,,,
,,Dump Truck DA 8291 JD,2000021389,5E18DTR002,,Aktif,Jalan / Baik,Sewa,,DTR,5E18,,,,
